file_stem,bronze_chars,after_fp_chars,after_bp_chars,bp_pct_removed,sections_stripped,stripped_headers,total_issues,content_preservation,strip_completeness,structural_coherence,metadata_accuracy,findings_detail
202541_ISEN_620_601_52745,22582,22494,11147,50.6,14,"College of Engineering Industrial and Systems Engineering; Technology Support; University Policies; University Attendance Policy; Makeup Work Policy; Academic Integrity Statement and Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",4,0,1,3,0,"[strip] Section 'Late Work Policy' is boilerplate and should be removed | [struc] The 'Credit Hours' field is duplicated under 'Course Information'. | [struc] The 'Course Schedule' section, which should be a table, has lost its tabular structure and is presented as plain text. | [struc] The footnote '1 An academic hour is 50 minutes.' is orphaned and incorrectly placed after the 'Communication' section, but refers to the 'Expected Time Commitment' section."
202541_ISEN_620_700_14035,22763,22684,11373,50.0,13,"College of Engineering Industrial and Systems Engineering; Technology Support; University Policies; University Attendance Policy; Makeup Work Policy; Academic Integrity Statement and Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",2,0,0,2,0,"[struc] The 'Course Schedule' section is not formatted as a markdown table, making its tabular data difficult to parse. | [struc] Footnote '1 An academic hour is 50 minutes.' is misplaced under the 'Communication' section, but refers to the 'Expected Time Commitment' section."
202541_ISEN_660_600_63233,15157,15108,3783,75.0,13,"College of Engineering Industrial and Systems Engineering; Technology Support; University Policies; University Attendance Policy; Makeup Work Policy; Academic Integrity Statement and Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,0,0,3,0,"[struc] The header 'Textbook and/or Resource Materials' is present but has no content directly following it, making it an orphaned header. | [struc] The textbook details (ISBN, Authors, Publisher, Publication Date) are incorrectly placed under the 'Course Schedule' section instead of under 'Textbook and/or Resource Materials'. | [struc] The 'Course Schedule' content, which appears to be tabular data (Week, Unit/Topic, Readings), is not formatted as a table but as a series of plain text lines, indicating a broken table structure."
202541_ISEN_660_700_63232,17123,17074,5754,66.4,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; University Attendance Policy; Makeup Work Policy; Academic Integrity Statement and Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,0,0,2,1,"[struc] The content for 'Textbook and/or Resource Materials' is located between 'Course Specific Late Work Policy' and 'Course Schedule', rather than directly under its designated header. | [struc] The header '## Textbook and/or Resource Materials' is immediately followed by '## Grading Policy' without its corresponding content, making it an empty or orphaned header. | [metad] Instructor phone number is 'TBD', indicating it's missing or incomplete."
202611_ISEN_616_600_39775,17699,17663,5356,69.7,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",4,1,0,3,0,"[conte] The clear mapping between the generic 'Topic X' entries in the weekly schedule (e.g., 'Week 1 Topic 1') and the detailed topic descriptions (e.g., '1. Basic principles and introduction to regression analysis') is lost or unclear due to fragmented and inconsistently headed topic lists. | [struc] The heading '## Course Schedule' is empty and immediately followed by '## Course Contents/Topics'. | [struc] Detailed topic descriptions are inconsistently headed and fragmented: '# 4. Factorial experiments...' and '# 5. Fractional factorial experiments...' are H1s, while '## 6. Orthogonal arrays', '## 7. Introduction to fractional factorial experiments at three levels', '## 8. Variation reduction...' are H2s, and '### 1. Basic principles...', '### 2. Experiments...', '### 3. Experiments with more than one factor...' are H3s, appearing out of sequence. | [struc] The 'Course Contents/Topics' section is poorly structured, with detailed topic descriptions (1-8) appearing in multiple locations and with inconsistent heading levels, making it difficult to follow the intended course content flow."
202611_ISEN_616_700_39910,17614,17578,5269,70.1,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",7,0,0,4,3,"[struc] Inconsistent heading levels for course topics: Topics 4 and 5 are H1, Topics 6-8 are H2, and Topics 1-3 are H3. | [struc] Course topics are listed out of numerical order (topics 4-8 appear before topics 1-3). | [struc] Redundant header '### Course Schedule' appears within the main '## Course Schedule' section. | [struc] The '## Course Contents/Topics' header is at the same level as '## Course Schedule', suggesting a structural issue where it should be a sub-section or merged. | [metad] Meeting Days field is empty. | [metad] Start Time field is 'N/A'. | [metad] End Time field is 'N/A'."
202611_ISEN_617_600_38490,14459,14411,3072,78.8,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",1,0,0,1,0,"[struc] The 'Course Outline' under 'Course Schedule' is not formatted as a table, and the sub-header '### Course Outline:' is repeated mid-list, breaking the flow of topics and chapters."
202611_ISEN_617_700_48204,14490,14442,3103,78.6,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",2,0,0,2,0,"[struc] The header 'Course Outline:' is duplicated within the 'Course Schedule' section. | [struc] The 'Course Schedule' content, intended to be a two-column table (Topic, Chapter(s)), is presented as a flat list, indicating a broken table structure."
202611_ISEN_620_600_59274,16033,15981,4648,71.0,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",2,0,0,2,0,[struc] The 'Grade Decomposition' section contains data that appears to be a table but is not formatted as a markdown table. | [struc] The 'Letter Grade Cutoffs' section contains data that appears to be a table but is not formatted as a markdown table.
202611_ISEN_625_600_55586,21204,21130,9690,54.3,16,"College of Engineering; Industrial and Systems Engineering; Technology Support; Technology Services (IT) - Main Campus; Canvas LMS Technical Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,0,0,3,0,"[struc] The 'Course Schedule' section is formatted as plain text with spaces, not a proper markdown table, making its structure ambiguous and difficult to parse. | [struc] The heading '# 1. Local Installation' is an orphaned H1 header, breaking the document's heading hierarchy by appearing after an H2 header ('## Additional Course Information'). | [struc] The heading '## 2. Remote Server' is an H2 header that appears to be a sub-section of the orphaned H1 header, further indicating a broken heading hierarchy."
